,2023年上海国际电影节排片表,,,,,,,,,,
ID,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,余票
137,寻找智美更登,THE SEARCH,万玛才旦,中国,112,6月10日,15:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
138,寻找智美更登,THE SEARCH,万玛才旦,中国,112,6月11日,10:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
139,寻找智美更登,THE SEARCH,万玛才旦,中国,112,6月13日,18:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
140,金爵奖参赛短片集1,GOLDEN GOBLET AWARD SHORT FILM COLLECTION I,"利亚·约翰斯顿, 钟鸿鍦, 菲鲁兹·塞哈尔, 林齐颖, 迪克·格罗布勒",,96,6月11日,18:30,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
141,金爵奖参赛短片集1,GOLDEN GOBLET AWARD SHORT FILM COLLECTION I,"利亚·约翰斯顿, 钟鸿鍦, 菲鲁兹·塞哈尔, 林齐颖, 迪克·格罗布勒",,96,6月12日,15:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
142,金爵奖参赛短片集1,GOLDEN GOBLET AWARD SHORT FILM COLLECTION I,"利亚·约翰斯顿, 钟鸿鍦, 菲鲁兹·塞哈尔, 林齐颖, 迪克·格罗布勒",,96,6月13日,18:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
143,金爵奖参赛短片集1,GOLDEN GOBLET AWARD SHORT FILM COLLECTION I,"利亚·约翰斯顿, 钟鸿鍦, 菲鲁兹·塞哈尔, 林齐颖, 迪克·格罗布勒",,96,6月15日,15:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
144,金爵奖参赛短片集1,GOLDEN GOBLET AWARD SHORT FILM COLLECTION I,"利亚·约翰斯顿, 钟鸿鍦, 菲鲁兹·塞哈尔, 林齐颖, 迪克·格罗布勒",,96,6月16日,15:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
145,金爵奖参赛短片集2,GOLDEN GOBLET AWARD SHORT FILM COLLECTION II,"曾华倩, 特奥娜·加尔戈修, 张津铭, 格奥尔基·博古斯拉夫斯基, 胡安·巴勃罗·萨拉梅利亚",,96,6月11日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
146,金爵奖参赛短片集2,GOLDEN GOBLET AWARD SHORT FILM COLLECTION II,"曾华倩, 特奥娜·加尔戈修, 张津铭, 格奥尔基·博古斯拉夫斯基, 胡安·巴勃罗·萨拉梅利亚",,96,6月13日,15:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
147,金爵奖参赛短片集2,GOLDEN GOBLET AWARD SHORT FILM COLLECTION II,"曾华倩, 特奥娜·加尔戈修, 张津铭, 格奥尔基·博古斯拉夫斯基, 胡安·巴勃罗·萨拉梅利亚",,96,6月14日,15:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
148,金爵奖参赛短片集2,GOLDEN GOBLET AWARD SHORT FILM COLLECTION II,"曾华倩, 特奥娜·加尔戈修, 张津铭, 格奥尔基·博古斯拉夫斯基, 胡安·巴勃罗·萨拉梅利亚",,96,6月16日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
149,金爵奖参赛短片集2,GOLDEN GOBLET AWARD SHORT FILM COLLECTION II,"曾华倩, 特奥娜·加尔戈修, 张津铭, 格奥尔基·博古斯拉夫斯基, 胡安·巴勃罗·萨拉梅利亚",,96,6月17日,18:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
150,金爵奖参赛短片集3,GOLDEN GOBLET AWARD SHORT FILM COLLECTION III,"玛丽卡·穆哈梅詹, 安东尼·卡泽特, 文淇 / 郑子忆, 何塞·普达德斯·马丁内斯 / 胡利叶塔·加斯洛 / 大卫·马奎达·帕沃, 苏夏",,95,6月12日,18:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
151,金爵奖参赛短片集3,GOLDEN GOBLET AWARD SHORT FILM COLLECTION III,"玛丽卡·穆哈梅詹, 安东尼·卡泽特, 文淇 / 郑子忆, 何塞·普达德斯·马丁内斯 / 胡利叶塔·加斯洛 / 大卫·马奎达·帕沃, 苏夏",,95,6月13日,15:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
152,金爵奖参赛短片集3,GOLDEN GOBLET AWARD SHORT FILM COLLECTION III,"玛丽卡·穆哈梅詹, 安东尼·卡泽特, 文淇 / 郑子忆, 何塞·普达德斯·马丁内斯 / 胡利叶塔·加斯洛 / 大卫·马奎达·帕沃, 苏夏",,95,6月14日,15:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
153,金爵奖参赛短片集3,GOLDEN GOBLET AWARD SHORT FILM COLLECTION III,"玛丽卡·穆哈梅詹, 安东尼·卡泽特, 文淇 / 郑子忆, 何塞·普达德斯·马丁内斯 / 胡利叶塔·加斯洛 / 大卫·马奎达·帕沃, 苏夏",,95,6月15日,15:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
154,金爵奖参赛短片集3,GOLDEN GOBLET AWARD SHORT FILM COLLECTION III,"玛丽卡·穆哈梅詹, 安东尼·卡泽特, 文淇 / 郑子忆, 何塞·普达德斯·马丁内斯 / 胡利叶塔·加斯洛 / 大卫·马奎达·帕沃, 苏夏",,95,6月16日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
155,金爵奖参赛短片集4,GOLDEN GOBLET AWARD SHORT FILM COLLECTION IV,"张曜元, 安德烈·克列切托夫, 姜晓通, 乌娜·洛伦森",,86,6月10日,13:00,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
156,金爵奖参赛短片集4,GOLDEN GOBLET AWARD SHORT FILM COLLECTION IV,"张曜元, 安德烈·克列切托夫, 姜晓通, 乌娜·洛伦森",,86,6月11日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
157,金爵奖参赛短片集4,GOLDEN GOBLET AWARD SHORT FILM COLLECTION IV,"张曜元, 安德烈·克列切托夫, 姜晓通, 乌娜·洛伦森",,86,6月13日,18:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
158,金爵奖参赛短片集4,GOLDEN GOBLET AWARD SHORT FILM COLLECTION IV,"张曜元, 安德烈·克列切托夫, 姜晓通, 乌娜·洛伦森",,86,6月14日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
159,金爵奖参赛短片集4,GOLDEN GOBLET AWARD SHORT FILM COLLECTION IV,"张曜元, 安德烈·克列切托夫, 姜晓通, 乌娜·洛伦森",,86,6月15日,18:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
160,国际动画短片精选集,INTERNATIONAL ANIMATED SHORT FILM COLLECTION,"迈克尔·巴恩斯特朗, 安娜·波德斯卡尔卡, 罗伯特-乔纳森·科耶斯, 玛塔·玛格努斯卡, 梅尔扎恩·桑迪贝, 英娜·叶夫兰尼科娃",,96,6月11日,15:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
161,国际动画短片精选集,INTERNATIONAL ANIMATED SHORT FILM COLLECTION,"迈克尔·巴恩斯特朗, 安娜·波德斯卡尔卡, 罗伯特-乔纳森·科耶斯, 玛塔·玛格努斯卡, 梅尔扎恩·桑迪贝, 英娜·叶夫兰尼科娃",,96,6月12日,15:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
162,国际动画短片精选集,INTERNATIONAL ANIMATED SHORT FILM COLLECTION,"迈克尔·巴恩斯特朗, 安娜·波德斯卡尔卡, 罗伯特-乔纳森·科耶斯, 玛塔·玛格努斯卡, 梅尔扎恩·桑迪贝, 英娜·叶夫兰尼科娃",,96,6月15日,15:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
163,国际动画短片精选集,INTERNATIONAL ANIMATED SHORT FILM COLLECTION,"迈克尔·巴恩斯特朗, 安娜·波德斯卡尔卡, 罗伯特-乔纳森·科耶斯, 玛塔·玛格努斯卡, 梅尔扎恩·桑迪贝, 英娜·叶夫兰尼科娃",,96,6月16日,15:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
164,国际动画短片精选集,INTERNATIONAL ANIMATED SHORT FILM COLLECTION,"迈克尔·巴恩斯特朗, 安娜·波德斯卡尔卡, 罗伯特-乔纳森·科耶斯, 玛塔·玛格努斯卡, 梅尔扎恩·桑迪贝, 英娜·叶夫兰尼科娃",,96,6月18日,18:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
165,国际短片精选集2 ,INTERNATIONAL SHORT FILM COLLECTION II,"贾斯敏·特努奇, 劳埃德·李·崔, 阿里·阿斯加里, 卡洛斯·塞贡多, 西山裕之, 希尼尔·保尔马松",,112,6月11日,15:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
166,国际短片精选集2 ,INTERNATIONAL SHORT FILM COLLECTION II,"贾斯敏·特努奇, 劳埃德·李·崔, 阿里·阿斯加里, 卡洛斯·塞贡多, 西山裕之, 希尼尔·保尔马松",,112,6月12日,18:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
167,国际短片精选集2 ,INTERNATIONAL SHORT FILM COLLECTION II,"贾斯敏·特努奇, 劳埃德·李·崔, 阿里·阿斯加里, 卡洛斯·塞贡多, 西山裕之, 希尼尔·保尔马松",,112,6月13日,15:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
168,国际短片精选集2 ,INTERNATIONAL SHORT FILM COLLECTION II,"贾斯敏·特努奇, 劳埃德·李·崔, 阿里·阿斯加里, 卡洛斯·塞贡多, 西山裕之, 希尼尔·保尔马松",,112,6月14日,15:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
169,国际短片精选集2 ,INTERNATIONAL SHORT FILM COLLECTION II,"贾斯敏·特努奇, 劳埃德·李·崔, 阿里·阿斯加里, 卡洛斯·塞贡多, 西山裕之, 希尼尔·保尔马松",,112,6月15日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
170,五彩神箭,THE SACRED ARROW,万玛才旦,中国,96,6月10日,18:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
171,五彩神箭,THE SACRED ARROW,万玛才旦,中国,96,6月14日,10:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
172,仕掛人・藤枝梅安1&2 (4K),"BAIAN THE ASSASSIN, M.D 1&2 (4K)",河毛俊作,日本,272,6月10日,13:00,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
173,仕掛人・藤枝梅安1&2 (4K),"BAIAN THE ASSASSIN, M.D 1&2 (4K)",河毛俊作,日本,272,6月12日,18:30,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
174,仕掛人・藤枝梅安1&2 (4K),"BAIAN THE ASSASSIN, M.D 1&2 (4K)",河毛俊作,日本,272,6月16日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
175,香港青年导演短片集,SHORT FILM COLLECTION OF HONG KONG YOUNG DIRECTORS,"高思約, 杜震谦, 张展雄, 郑晴怡, 龚沛蔚",中国香港,116,6月10日,15:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
176,香港青年导演短片集,SHORT FILM COLLECTION OF HONG KONG YOUNG DIRECTORS,"高思約, 杜震谦, 张展雄, 郑晴怡, 龚沛蔚",中国香港,116,6月11日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
177,金爵奖最佳影片,GOLDEN GOBLET AWARD: BEST FEATURE FILM,,,100,6月18日,15:30,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
178,金爵奖最佳导演影片,GOLDEN GOBLET AWARD: BEST DIRECTOR FILM,,,100,6月18日,18:30,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
179,金爵奖评委会大奖影片,GOLDEN GOBLET AWARD: JURY GRAND PRIX FILM,,,100,6月18日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
180,金爵奖最佳动画片,GOLDEN GOBLET AWARD: BEST ANIMATION FILM,,,100,6月18日,18:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
181,金爵奖最佳纪录片,GOLDEN GOBLET AWARD: BEST DOCUMENTARY FILM,,,100,6月18日,20:40,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
182,美少女战士剧场版Cosmos前篇&后篇,PRETTY GUARDIAN SAILOR MOON COSMOS THE MOVIE PART1 & PART2,高桥知也,日本,161,6月15日,15:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
183,美少女战士剧场版Cosmos前篇&后篇,PRETTY GUARDIAN SAILOR MOON COSMOS THE MOVIE PART1 & PART2,高桥知也,日本,161,6月16日,13:00,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
184,美少女战士剧场版Cosmos前篇&后篇,PRETTY GUARDIAN SAILOR MOON COSMOS THE MOVIE PART1 & PART2,高桥知也,日本,161,6月17日,18:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
185,美少女战士剧场版Cosmos前篇&后篇,PRETTY GUARDIAN SAILOR MOON COSMOS THE MOVIE PART1 & PART2,高桥知也,日本,161,6月18日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
186,火星之旅,TRIP TO MARS,霍尔格-马森,丹麦,81,6月11日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
187,火星之旅,TRIP TO MARS,霍尔格-马森,丹麦,81,6月13日,18:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
188,火星之旅,TRIP TO MARS,霍尔格-马森,丹麦,81,6月16日,18:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
189,火星女王艾莉塔,AELITA: THE QUEEN OF MARS,雅科夫·普罗塔扎诺夫,苏联,113,6月10日,15:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
190,火星女王艾莉塔,AELITA: THE QUEEN OF MARS,雅科夫·普罗塔扎诺夫,苏联,113,6月12日,18:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
191,火星女王艾莉塔,AELITA: THE QUEEN OF MARS,雅科夫·普罗塔扎诺夫,苏联,113,6月18日,15:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
192,无姓之人,MR. NOBODY,雅克·范·多梅尔,法国,139,6月9日,15:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
193,无姓之人,MR. NOBODY,雅克·范·多梅尔,法国,139,6月10日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
194,无姓之人,MR. NOBODY,雅克·范·多梅尔,法国,139,6月11日,15:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
195,无姓之人,MR. NOBODY,雅克·范·多梅尔,法国,139,6月13日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
196,阿拉伯的劳伦斯 (4K),LAWRENCE OF ARABIA (4K),大卫·里恩,英国,227,6月9日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
197,阿拉伯的劳伦斯 (4K),LAWRENCE OF ARABIA (4K),大卫·里恩,英国,227,6月11日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
198,阿拉伯的劳伦斯 (4K),LAWRENCE OF ARABIA (4K),大卫·里恩,英国,227,6月14日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
199,阿拉伯的劳伦斯 (4K),LAWRENCE OF ARABIA (4K),大卫·里恩,英国,227,6月16日,13:00,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
200,阿拉伯的劳伦斯 (4K),LAWRENCE OF ARABIA (4K),大卫·里恩,英国,227,6月17日,13:00,上海美琪大戏院,观众厅,静安区江宁路66号,50
201,阿拉伯的劳伦斯 (4K),LAWRENCE OF ARABIA (4K),大卫·里恩,英国,227,6月18日,13:00,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
202,少年不知何处去 (4K),THE PATH (4K),安娜·马里斯卡尔,西班牙,91,6月13日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
203,少年不知何处去 (4K),THE PATH (4K),安娜·马里斯卡尔,西班牙,91,6月15日,18:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
204,少年不知何处去 (4K),THE PATH (4K),安娜·马里斯卡尔,西班牙,91,6月17日,18:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
205,少年不知何处去 (4K),THE PATH (4K),安娜·马里斯卡尔,西班牙,91,6月18日,10:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
206,犬神家族 (4K),THE INUGAMI FAMILY (4K),市川昆,日本,147,6月9日,20:40,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
207,犬神家族 (4K),THE INUGAMI FAMILY (4K),市川昆,日本,147,6月11日,20:40,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
208,犬神家族 (4K),THE INUGAMI FAMILY (4K),市川昆,日本,147,6月14日,20:40,上海大光明电影院,1号厅,黄浦区南京西路216号,50
209,犬神家族 (4K),THE INUGAMI FAMILY (4K),市川昆,日本,147,6月17日,20:40,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
210,犬神家族 (4K),THE INUGAMI FAMILY (4K),市川昆,日本,147,6月18日,20:40,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
211,风之棋局 (4K),CHESS OF THE WIND (4K),默罕默德·雷沙·亚斯兰尼,伊朗,100,6月12日,10:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
212,风之棋局 (4K),CHESS OF THE WIND (4K),默罕默德·雷沙·亚斯兰尼,伊朗,100,6月13日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
213,风之棋局 (4K),CHESS OF THE WIND (4K),默罕默德·雷沙·亚斯兰尼,伊朗,100,6月14日,18:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
214,风之棋局 (4K),CHESS OF THE WIND (4K),默罕默德·雷沙·亚斯兰尼,伊朗,100,6月16日,13:00,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
215,BJ单身日记 (4K),BRIDGET JONES'S DIARY (4K),莎伦·马奎尔,"英国,法国,美国",97,6月10日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
216,BJ单身日记 (4K),BRIDGET JONES'S DIARY (4K),莎伦·马奎尔,"英国,法国,美国",97,6月11日,18:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
217,BJ单身日记 (4K),BRIDGET JONES'S DIARY (4K),莎伦·马奎尔,"英国,法国,美国",97,6月12日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
218,BJ单身日记 (4K),BRIDGET JONES'S DIARY (4K),莎伦·马奎尔,"英国,法国,美国",97,6月13日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
219,BJ单身日记 (4K),BRIDGET JONES'S DIARY (4K),莎伦·马奎尔,"英国,法国,美国",97,6月15日,18:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
220,BJ单身日记 (4K),BRIDGET JONES'S DIARY (4K),莎伦·马奎尔,"英国,法国,美国",97,6月16日,10:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
221,刀锋战士 (4K),BLADE (4K),斯蒂芬·诺林顿,美国,121,6月10日,20:40,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
222,刀锋战士 (4K),BLADE (4K),斯蒂芬·诺林顿,美国,121,6月12日,20:40,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
223,刀锋战士 (4K),BLADE (4K),斯蒂芬·诺林顿,美国,121,6月13日,20:40,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
